First Name,Last Name,Position,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
Wesley,Matthews,SG,2,0,20.5,6.0,0.5,1.0,1.5,0.5,1.0,0.5,0.0,1.5,INF
MarJon,Beauchamp,F,2,0,2.5,2.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Goran,Dragic,PG,2,0,3.5,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,INF
Jae,Crowder,PF,4,0,10.3,1.8,0.3,0.8,1.0,0.8,0.5,0.0,0.3,1.3,3.0
Jevon,Carter,PG,4,0,12.3,1.3,0.0,1.0,1.0,1.0,0.3,0.0,0.0,0.3,INF
Meyers,Leonard,C,2,0,2.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Thanasis,Antetokounmpo,SF,2,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola,Jokic,C,20,20,39.5,30.0,3.5,10.0,13.5,9.5,1.1,1.0,3.5,3.5,2.7
Jamal,Murray,PG,20,20,40.0,26.1,0.8,4.9,5.7,7.1,1.5,0.3,2.5,2.1,2.8
Michael,Porter Jr.,SF,20,20,32.7,13.4,1.0,7.1,8.1,1.6,0.5,0.6,0.5,2.1,3.4
Aaron,Gordon,PF,20,20,35.7,13.3,2.5,3.6,6.0,2.6,0.6,0.7,1.0,2.9,2.6
Bruce,Brown,SF,20,0,26.6,12.0,0.8,3.3,4.0,1.9,1.1,0.5,1.2,2.5,1.7
Kentavious,Caldwell-Pope,SG,20,20,33.6,10.6,0.7,2.6,3.3,1.6,1.3,0.7,0.8,2.4,2.1
Jeff,Green,PF,20,0,17.2,4.1,0.3,1.3,1.6,0.7,0.3,0.4,0.5,2.2,1.6
Christian,Braun,G,19,0,13.0,3.2,0.6,1.4,2.1,0.6,0.6,0.2,0.5,1.5,1.1
DeAndre,Jordan,C,4,0,3.5,1.3,0.0,1.0,1.0,0.3,0.0,0.3,0.5,0.5,0.5
Zeke,Nnaji,PF,5,0,2.4,1.0,0.0,0.4,0.4,0.0,0.2,0.0,0.2,0.0,0.0
Peyton,Watson,F,5,0,2.8,1.0,0.2,0.6,0.8,0.2,0.0,0.2,0.2,0.4,1.0
Ish,Smith,PG,4,0,3.0,0.5,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.5,INF
Reggie,Jackson,PG,6,0,3.0,0.5,0.0,0.3,0.3,0.3,0.2,0.0,0.2,0.0,2.0
Thomas,Bryant,C,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlatko,Cancar,SF,5,0,2.0,0.0,0.0,0.6,0.6,0.2,0.0,0.0,0.0,0.0,INF
Anthony,Edwards,SG,5,5,39.8,31.6,0.6,4.4,5.0,5.2,1.8,2.0,1.6,2.6,3.3
Karl-Anthony,Towns,C,5,5,36.0,18.2,1.2,9.0,10.2,2.0,0.6,0.8,3.6,4.2,0.6
Rudy,Gobert,C,5,5,35.4,15.0,3.6,8.6,12.2,2.0,0.4,1.0,1.6,4.8,1.3
Mike,Conley,PG,5,5,36.6,12.0,0.4,2.2,2.6,6.4,0.6,0.0,1.4,2.2,4.6
Kyle,Anderson,SF,4,0,26.0,8.5,0.8,3.3,4.0,4.5,1.8,0.5,1.5,3.3,3.0
Nickeil,Alexander-Walker,SG,5,4,29.6,8.4,0.2,1.8,2.0,1.4,0.6,0.2,0.8,1.8,1.8
Taurean,Prince,PF,5,1,20.0,7.8,0.6,0.8,1.4,0.8,0.6,0.2,1.0,1.8,0.8
Jaylen,Nowell,SG,5,0,12.4,3.2,0.8,0.2,1.0,0.6,0.0,0.0,0.4,0.8,1.5
Austin,Rivers,SG,4,0,11.5,2.5,0.3,1.0,1.3,0.3,0.3,0.0,0.3,0.3,1.0
Nathan,Knight,F,2,0,2.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
Jordan,McLaughlin,PG,2,0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,INF
Wendell,Moore Jr.,G,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Josh,Minott,F,1,0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
Shai,Gilgeous-Alexander,PG,68,68,35.5,31.4,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,1.9
Josh,Giddey,SG,76,76,31.1,16.6,1.9,5.9,7.9,6.2,0.8,0.4,2.8,1.9,2.2
Jalen,Williams,F,75,62,30.3,14.1,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,2.0
Luguentz,Dort,G,74,73,30.7,13.7,1.7,2.9,4.6,2.1,1.0,0.3,1.2,3.3,1.7
Isaiah,Joe,SG,73,10,19.1,9.5,0.4,2.0,2.4,1.2,0.7,0.1,0.5,1.4,2.3
Aleksej,Pokusevski,F,34,25,20.6,8.1,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,1.5
Kenrich,Williams,SF,53,10,22.8,8.0,1.8,3.1,4.9,2.0,0.8,0.3,0.6,2.1,3.3
Tre,Mann,PG,67,5,17.7,7.7,0.4,1.9,2.3,1.8,0.6,0.2,0.9,1.5,1.9
Dario,Saric,PF,20,0,13.7,7.4,0.7,2.6,3.3,0.9,0.4,0.1,1.0,1.5,0.9
Aaron,Wiggins,SG,70,14,18.5,6.8,1.0,2.0,3.0,1.1,0.6,0.2,0.8,1.6,1.4
Jeremiah,Robinson-Earl,PF,43,20,18.9,6.8,1.7,2.5,4.2,1.0,0.6,0.3,0.4,1.7,2.3
Jared,Butler,SG,6,1,12.8,6.2,0.2,0.5,0.7,1.3,0.8,0.0,0.8,0.8,1.6
Mike,Muscala,C,43,5,14.5,6.2,0.5,2.6,3.1,0.9,0.3,0.4,0.3,1.6,2.7
Jaylin,Williams,F,49,36,18.7,5.9,0.9,4.0,4.9,1.6,0.6,0.2,0.8,2.3,2.1
Darius,Bazley,PF,36,1,15.4,5.4,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,1.5
Lindy,Waters III,F,41,0,13.0,5.2,0.4,1.4,1.8,0.7,0.3,0.3,0.2,1.0,2.8
Ousmane,Dieng,F,39,1,14.6,4.9,0.5,2.2,2.7,1.2,0.4,0.2,0.7,1.1,1.8
Eugene,Omoruyi,F,23,2,11.8,4.9,1.0,1.3,2.3,0.5,0.6,0.0,0.7,2.0,0.7
Olivier,Sarr,C,9,1,12.7,4.0,1.3,2.1,3.4,0.4,0.1,0.6,0.4,1.9,1.0
Damian,Lillard,PG,58,58,36.3,32.2,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9,2.2
Anfernee,Simons,SG,62,62,35.0,21.1,0.3,2.3,2.6,4.1,0.7,0.2,2.1,2.3,2.0
Jerami,Grant,SF,63,63,35.7,20.5,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,1.3
Skylar,Mays,SG,6,6,31.5,15.3,0.3,2.8,3.2,8.3,1.0,0.2,1.7,1.8,5.0
Jusuf,Nurkic,C,52,52,26.8,13.3,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,1.3
Cam,Reddish,SF,20,12,27.6,11.0,0.6,2.3,2.9,1.9,1.2,0.3,1.6,2.0,1.2
Jeenathan,Williams,G,5,4,25.4,10.6,2.0,1.0,3.0,2.0,0.6,0.4,0.8,2.6,2.5
Shaedon,Sharpe,SG,80,15,22.2,9.9,0.8,2.2,3.0,1.2,0.5,0.3,1.0,1.7,1.1
Josh,Hart,SG,51,51,33.4,9.5,1.9,6.3,8.2,3.9,1.1,0.2,1.5,2.6,2.5
Shaquille,Harrison,G,5,0,24.0,8.8,0.2,4.2,4.4,6.0,2.2,0.4,1.2,2.4,5.0
Kevin,Knox II,SF,21,4,17.1,8.5,0.7,2.6,3.3,0.9,0.5,0.0,0.9,1.0,1.0
Matisse,Thybulle,SG,22,22,27.7,7.4,0.9,2.6,3.5,1.4,1.7,0.8,0.7,2.2,1.9
Trendon,Watford,PF,62,12,19.1,7.4,0.7,3.2,3.8,2.1,0.5,0.2,1.1,1.9,1.8
Chance,Comanche,C,1,0,21.0,7.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Justise,Winslow,PF,29,11,26.8,6.8,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,2.3
Nassir,Little,SF,54,4,18.1,6.6,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,1.4
Drew,Eubanks,PF,78,28,20.3,6.6,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,1.5
